id;value_counter;denomination_sale;counter_code;event_device_id
4e9912b5-8095-4e29-8e4b-5fbb400c2135;5411;96365;da;4c2b833e-7c98-4ce2-9872-aa3ebaaa14ea
fbe9afbe-e097-4a25-98fd-762020ad9729;15262;82109;31;cb48cff1-b8d9-44fc-9a2f-f7c2023d5c94
905e8600-80f4-4734-9a69-c2030a7c7ad0;37589;36610;54;574c3c14-257b-42a3-926d-3808963263f2
2e322088-41de-4138-b9fa-59325b404b87;6198;26724;59;6fcbea37-5496-4350-b588-9a30980e2d36
eb9ce6e6-dc08-4bb0-805b-ed90ab8e2046;99096;48012;52;bf8319ea-d7d4-4327-b8a1-14f9e4ffb2dc
4d471f64-0a00-432b-bd29-2fb1e517af88;80660;66857;1d;940b984d-a5d4-45f6-b900-1ae0ce78aa9d
9b83e0f2-2d4d-4938-9cc2-3da174abab67;15165;76132;aa;aeba9419-a20c-456c-8848-8d5bda2e2acd
92e43c79-d72e-419f-a592-72f6a693d1a8;60224;44090;8c;5e9d4cb9-9f1e-423b-973c-5fa0687ae89b
05080b81-b8c4-4af6-ba52-58a1fbd09994;398;20438;0a;3edd7100-b255-4b58-9870-6087af793949
4dbc705b-e1ae-4c3d-8089-3f30f5030698;23939;87549;24;5beb9538-f095-4557-a32d-fc56872e1ba8
